Timestamp, Frame, Slot, IMSI, RNTI, UID, UE_No, DL_THR, UL_THR, ,PH_dB, PCMAX_dBm, AVG_RSRP, CQI, RI, raw_rssi, ul_rssi, dl_max_mcs, sched_ul_bytes, estimated_ul_buffer, num_total_bytes, dl_pdus_total, ,dl_BLER, dl_MCS, dlsch_errors, dlsch_total_bytes, dlsch_current_bytes, dlsch_total_rbs, dlsch_current_rbs, dl_num_mac_sdu, dl_lc4_bytes, dl_lc4_id, dl_lc4_sst,dl_lc4_sd, dl_lc5_bytes, dl_lc5_id, dl_lc5_sst,dl_lc5_sd, ,ul_BLER, ul_MCS, ulsch_errors, ulsch_total_bytes, ulsch_current_bytes, ulsch_total_rbs, ulsch_current_rbs, ul_num_mac_sdu, SNR, slice2_max_ratio, ,
0,909,7,0010100000107XX,3da5,0,1,34.626553,168.422302, ,61,21,-99,0,1,727,0,28,92,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103190,0,893848,0,31223,165,100, ,
1,909,9,0010100000107XX,3da5,0,1,34.626553,168.422302, ,61,21,-99,0,1,727,0,28,92,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103190,0,893848,0,31223,165,100, ,
2,909,12,0010100000107XX,3da5,0,1,34.574635,168.422302, ,61,21,-99,0,1,727,0,28,92,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103190,0,893848,0,31223,165,100, ,
3,909,14,0010100000107XX,3da5,0,1,34.540066,168.422302, ,61,21,-99,0,1,731,0,28,0,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103282,0,893848,0,31223,175,100, ,
4,909,16,0010100000107XX,3da5,0,1,34.505535,168.299911, ,61,21,-99,0,1,731,0,28,513,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103282,421,893868,10,31223,175,100, ,
6,909,18,0010100000107XX,3da5,0,1,34.488281,168.426254, ,61,21,-99,0,1,731,0,28,934,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103282,421,893878,10,31223,175,100, ,
7,910,0,0010100000107XX,3da5,0,1,34.471035,168.426254, ,61,21,-99,0,1,731,0,28,934,0,0,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103282,421,893878,10,31223,175,100, ,
8,910,2,0010100000107XX,3da5,0,1,34.436573,168.426254, ,61,21,-99,0,1,731,0,28,934,0,3,0, ,0.06608,19,31,13934561,0,142424,0,26831,1026357,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103282,421,893878,10,31223,175,100, ,
9,910,4,0010100000107XX,3da5,0,1,34.636528,168.426254, ,61,21,-99,0,1,727,0,28,421,0,0,0, ,0.06608,19,31,13935030,0,142429,0,26832,1026360,1,1,000000,0,0,0,000000, ,0.09600,11,0,25103795,421,893878,10,31223,160,100, ,
10,910,7,0010100000107XX,3da5,0,1,34.584595,168.429993, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.06608,19,31,13935030,0,142429,0,26832,1026360,1,1,000000,0,0,0,000000, ,0.09600,11,0,25104216,0,893888,0,31223,145,100, ,
