user_id,delay_ms,run_id,perceived_delay,responsiveness,control_stability,trajectory_control,task_difficulty,task_confidence,success_expectation,compensatory_action,anticipatory_compensation,attention_load,adaptation,perceived_response_change,frustration,overall_experience
user1,0,delay0_user1,1,6,3,4,4,6,6,3,2,6,7,2,6,4
user2,0,delay0_user2,3,6,4,6,5,6,6,5,2,6,4,5,5,6
user3,0,delay0_user3,2,7,3,6,4,7,5,3,3,4,6,2,4,6
user4,0,delay0_user4,2,6,2,3,3,5,7,2,1,2,5,1,4,5
user5,0,delay0_user5,1,7,1,2,2,6,5,2,2,3,6,2,5,4
user6,0,delay0_user6,1,6,2,3,3,6,7,3,2,3,6,2,2,6
user7,0,delay0_user7,2,6,2,3,3,6,7,4,3,3,6,2,3,6
user8,0,delay0_user8,1,7,3,2,3,7,7,3,2,2,7,1,1,7
user9,0,delay0_user9,2,6,3,4,4,6,5,3,1,5,7,2,2,6
user10,0,delay0_user10,2,6,2,3,3,6,7,5,2,2,7,2,2,5
user11,0,delay0_user11,1,7,1,2,2,7,7,2,2,2,7,1,1,7
user12,0,delay0_user12,1,7,2,2,2,7,7,3,3,2,7,1,2,6
user13,0,delay0_user13,1,7,2,2,3,7,7,2,2,2,7,2,2,6
user14,0,delay0_user14,1,6,3,4,3,6,6,4,2,5,5,3,2,6
user15,0,delay0_user15,1,7,2,3,3,6,6,4,3,2,6,3,1,7
user16,0,delay0_user16,2,6,3,2,3,5,6,5,2,3,6,4,5,4
user17,0,delay0_user17,2,6,4,4,4,5,6,5,1,6,5,4,5,5
user18,0,delay0_user18,1,7,2,2,2,6,7,3,2,2,7,1,2,7
user19,0,delay0_user19,2,6,3,3,3,6,6,4,1,4,6,2,2,6
user20,0,delay0_user20,1,7,2,3,2,7,7,2,3,4,7,1,1,7
user21,0,delay0_user21,1,6,3,2,3,6,6,3,2,3,6,2,3,5
user22,0,delay0_user22,2,7,2,2,2,6,6,2,2,2,6,2,2,6
user23,0,delay0_user23,1,7,2,2,3,6,7,4,3,2,7,2,2,6
user24,0,delay0_user24,1,7,1,1,2,7,7,2,2,2,7,1,1,7
user1,300,delay300_user1,3,4,4,4,6,6,7,5,6,4,6,3,7,6
user2,300,delay300_user2,4,3,5,5,6,6,7,6,7,5,6,4,6,5
user3,300,delay300_user3,4,4,5,4,7,7,7,5,6,5,7,5,5,5
user4,300,delay300_user4,5,5,4,4,5,5,6,5,5,6,7,4,3,7
user5,300,delay300_user5,5,3,6,6,6,6,6,5,6,7,5,6,6,5
user6,300,delay300_user6,3,6,4,3,5,6,7,5,5,4,7,5,6,6
user7,300,delay300_user7,6,3,6,4,6,6,6,6,6,6,6,6,5,6
user8,300,delay300_user8,3,6,5,5,5,6,7,6,5,6,6,4,5,6
user9,300,delay300_user9,4,4,6,6,6,5,6,6,5,6,5,5,6,5
user10,300,delay300_user10,3,6,3,4,4,6,6,4,4,4,5,6,4,6
user11,300,delay300_user11,4,3,5,5,5,6,6,6,5,6,6,4,6,6
user12,300,delay300_user12,3,6,4,5,5,6,7,5,4,6,6,4,6,5
user13,300,delay300_user13,4,4,4,4,5,6,7,5,6,6,4,4,5,6
user14,300,delay300_user14,3,6,4,5,4,6,6,5,4,5,5,4,4,6
user15,300,delay300_user15,3,5,3,3,3,6,7,3,3,3,6,3,4,6
user16,300,delay300_user16,5,5,5,6,5,5,6,6,6,6,6,5,5,5
user17,300,delay300_user17,4,6,4,4,4,5,5,5,6,6,6,4,5,6
user18,300,delay300_user18,4,5,4,4,4,5,6,4,6,6,6,4,5,5
user19,300,delay300_user19,3,6,3,3,3,6,6,4,5,5,6,4,4,5
user20,300,delay300_user20,3,6,3,3,3,6,6,3,5,5,6,3,4,5
user21,300,delay300_user21,4,5,4,4,4,5,6,4,6,5,5,5,5,6
user22,300,delay300_user22,3,6,4,4,3,6,6,5,5,6,6,4,5,6
user23,300,delay300_user23,3,4,5,5,5,6,6,5,6,6,6,5,5,6
user24,300,delay300_user24,3,4,5,5,5,7,7,5,5,5,7,4,5,7
user1,600,delay600_user1,6,2,6,7,7,2,6,6,6,7,2,4,7,2
user2,600,delay600_user2,7,1,3,6,5,6,7,7,7,7,5,6,5,2
user3,600,delay600_user3,7,2,6,7,6,5,5,7,7,7,4,7,6,4
user4,600,delay600_user4,7,1,7,6,7,2,4,6,7,7,3,6,6,3
user5,600,delay600_user5,7,1,7,7,6,3,4,7,7,7,2,6,7,2
user6,600,delay600_user6,7,1,7,6,7,4,5,7,7,7,4,7,6,2
user7,600,delay600_user7,6,2,7,7,7,4,5,7,7,7,3,7,6,2
user8,600,delay600_user8,7,1,7,7,7,3,5,7,7,7,4,7,5,3
user9,600,delay600_user9,7,1,7,6,7,3,5,6,7,7,4,7,5,3
user10,600,delay600_user10,6,2,6,6,7,4,6,7,7,7,4,6,4,5
user11,600,delay600_user11,7,1,6,6,7,3,4,7,7,7,4,7,5,4
user12,600,delay600_user12,6,2,7,6,7,4,4,7,6,7,4,6,4,4
user13,600,delay600_user13,7,1,6,7,7,4,5,7,5,7,2,7,4,4
user14,600,delay600_user14,7,1,7,7,7,3,4,7,6,7,3,7,5,3
user15,600,delay600_user15,7,1,7,6,7,4,5,7,7,7,2,7,4,4
user16,600,delay600_user16,7,1,7,7,7,3,4,7,7,7,2,7,5,3
user17,600,delay600_user17,7,2,6,7,7,4,5,7,7,7,4,6,4,4
user18,600,delay600_user18,7,1,7,7,7,4,5,7,7,7,3,7,6,2
user19,600,delay600_user19,7,1,7,7,7,3,4,7,7,7,3,7,4,5
user20,600,delay600_user20,7,2,6,6,7,4,5,7,6,7,4,7,4,4
user21,600,delay600_user21,7,1,7,7,7,4,4,7,7,7,4,6,5,4
user22,600,delay600_user22,6,2,6,7,7,4,4,6,6,7,4,7,4,4
user23,600,delay600_user23,7,1,7,6,6,4,5,7,6,7,4,7,6,2
user24,600,delay600_user24,7,2,6,6,6,5,6,7,7,7,5,7,4,5
